"ArtikelNr","Bezeichnung","Hersteller","Land","Qualitaet","Gebinde","PreisInklMwst","EntMwst","MwstSatz"
"695595","Kinder Ketchup - Quetschflasche","Byodo","Diverse","100% Biozutaten","6x300ml","16.9873","1.029","7"
"695596","Tomatenketchup - Quetschflasche","Byodo","Diverse","100% Biozutaten","6x300ml","16.9873","1.029","7"
"695597","Delikatess Mayonnaise 80% - Quetschflasche","Byodo","Diverse","100% Biozutaten","6x300ml","18.2354","1.1046","7"
"695598","Mittelscharfer Senf - Quetschflasche","Byodo","Diverse","100% Biozutaten","6x300ml","14.9072","0.903","7"
"695618","Apfel Balsam - 5% Säure","Byodo","Deutschland","100% Biozutaten","6x250ml","27.6651","1.6758","7"
"695619","Lemon Balsam - 5% Säure","Byodo","Diverse","100% Biozutaten","6x250ml","27.6651","1.6758","7"
"695620","Himbeer Balsam - 5% Säure","Byodo","Deutschland","100% Biozutaten","6x250ml","29.7451","1.8018","7"
"695621","Granatapfel Balsam - 5% Säure","Byodo","Deutschland","100% Biozutaten","6x250ml","27.6651","1.6758","7"
"695625","Knusperecken Mais","Byodo","Italien","100% Biozutaten","12x90g","21.4942","1.302","7"
"695626","Knusperecken Mais - Hülsenfrüchte","Byodo","Italien","100% Biozutaten","12x90g","21.4942","1.302","7"
"695628","Knusperecken Roter Reis - Kichererbse","Byodo","Italien","100% Biozutaten","12x90g","21.4942","1.302","7"
"695638","Knusperecken Mais - schwarzer Reis","Byodo","Italien","100% Biozutaten","12x90g","21.4942","1.302","7"
"695639","Crema mit schwarzer Johannisbeere","Byodo","Italien","100% Biozutaten","6x150ml","22.8115","1.3818","7"
"695640","Crema mit Basilikum","Byodo","Italien","100% Biozutaten","6x150ml","22.8115","1.3818","7"
"695643","Einführungspaket - Muster","Byodo","Italien","100% Biozutaten","Stück","0","0","7"
"695645","Steirisches Kürbiskernöl ggA - Glas","Byodo","Österreich","Bio Austria","6x0,25l","54.0127","3.2718","7"
"695646","Back-Öl Klassik","Byodo","Diverse","100% Biozutaten","6x750ml","29.7451","1.8018","7"
